,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,latitude,longitude,onmousedown,snippet,source,sponsored,state,stations,url
10,Fremont,Ryzen Solutions,US,"Thu, 09 Feb 2017 21:27:38 GMT",False,"Fremont, CA","Fremont, CA",19 days ago,True,811aae64b441b2e4,Supplier Quality Engineer,37.546703,-121.98351,"indeed_clk(this,'9267');",Or Master) in <b>Chemical</b> <b>Engineering</b> or Mechanical <b>Engineering</b> or Material Sciences from accredited University preferred....,Indeed,False,CA,,http://www.indeed.com/viewjob?jk=811aae64b441b2e4&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
11,Menlo Park,Exponent,US,"Sat, 25 Feb 2017 07:15:33 GMT",False,"Menlo Park, CA","Menlo Park, CA 94025",3 days ago,False,55f709cc540ed387,Associate/Scientist,37.481052,-122.17387,"indeed_clk(this,'9267');","In Materials Science and <b>Engineering</b>, <b>Chemical</b> <b>Engineering</b> or Chemistry. Exponent is a leading <b>engineering</b> and scientific consulting firm....",Exponent,False,CA,,http://www.indeed.com/viewjob?jk=55f709cc540ed387&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
12,Edwards AFB,"ERC, Inc.",US,"Sat, 04 Feb 2017 18:26:46 GMT",False,"Edwards AFB, CA","Edwards AFB, CA 93524",24 days ago,False,04db07bd81d2bcd8,Research Scientist/Chemist/Engineer - ERC,34.917583,-117.94505,"indeed_clk(this,'9267');","Analytical chemistry, <b>chemical</b> <b>engineering</b>, etc.). Related microfluidic fields (biomedical <b>engineering</b>,. At the Air Force Research Laboratory at....","ERC, Inc.",False,CA,,http://www.indeed.com/viewjob?jk=04db07bd81d2bcd8&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
13,Valencia,Pharmavite LLC,US,"Wed, 08 Feb 2017 09:06:00 GMT",False,"Valencia, CA","Valencia, CA 91355",20 days ago,False,6fb72e708cc2eec5,"Scientist, Research & Development",34.444756,-118.62847,"indeed_clk(this,'9267');","Requires a four-year college or university degree or its equivalent in Chemistry, Pharmacy, Food Science, <b>Chemical</b> <b>Engineering</b> or other relevant science degree....",Pharmavite LLC,False,CA,,http://www.indeed.com/viewjob?jk=6fb72e708cc2eec5&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
14,Irvine,Allergan,US,"Tue, 21 Feb 2017 23:46:13 GMT",False,"Irvine, CA","Irvine, CA 92612",7 days ago,False,34c7d845df2a4275,"Scientist, Drug Delivery & Biomaterials",33.674538,-117.85172,"indeed_clk(this,'9267');","Ability to function as a CMC team leader and utilize knowledge of pharmaceutical science, <b>chemical</b> <b>engineering</b>, literature and experience to guide decisions in...",Allergan,False,CA,,http://www.indeed.com/viewjob?jk=34c7d845df2a4275&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
15,San Diego,San Diego Community College District,US,"Sat, 11 Feb 2017 05:18:19 GMT",False,"San Diego, CA","San Diego, CA",18 days ago,False,cee1188b678f54e5,Chemistry: Contract Instructor-College Credit,32.714287,-117.15385,"indeed_clk(this,'9267');","Master’s in biochemistry, <b>chemical</b> <b>engineering</b>, <b>chemical</b> physics, physics, molecular biology, or geochemistry. Posting Details (Default Section)....",San Diego Community College District,False,CA,,http://www.indeed.com/viewjob?jk=cee1188b678f54e5&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
16,Irvine,Design Group,US,"Tue, 17 Jan 2017 08:02:24 GMT",False,"Irvine, CA","Irvine, CA",30+ days ago,True,a25f69c636650b68,Validation Engineer,33.667583,-117.81868,"indeed_clk(this,'9267');","BS Mechanical <b>Engineering</b> or BS Electrical <b>Engineering</b> or BS <b>Chemical</b> <b>Engineering</b>. Design Group provides <b>engineering</b>, project management, regulatory compliance,...",Barry Wehmiller Companies Inc,False,CA,,http://www.indeed.com/viewjob?jk=a25f69c636650b68&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
17,Lafayette,Zero Waste Energy,US,"Fri, 10 Feb 2017 03:45:30 GMT",False,"Lafayette, CA","Lafayette, CA 94549",19 days ago,False,3e1c55728c23721c,Process Engineer,37.893448,-122.1152,"indeed_clk(this,'9267');","A Bachelor’s degree in Mechanical, Civil, Environmental or <b>Chemical</b> <b>Engineering</b> with a minimum of 5 years’ experience designing plant systems and/or major...",Indeed,False,CA,,http://www.indeed.com/viewjob?jk=3e1c55728c23721c&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
18,Hawthorne,SpaceX,US,"Tue, 03 Jan 2017 01:18:19 GMT",False,"Hawthorne, CA","Hawthorne, CA 90250",30+ days ago,False,70ea15a1993e63ec,Manufacturing Development Engineer (Launch Vehicle Integration),33.921432,-118.32665,"indeed_clk(this,'9267');","Bachelor’s degree in mechanical/electrical/aerospace/<b>chemical</b> <b>engineering</b> OR Physics. 2+ years of collegiate extracurricular <b>engineering</b> project experience,...",SpaceX,False,CA,,http://www.indeed.com/viewjob?jk=70ea15a1993e63ec&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
19,Hawthorne,SpaceX,US,"Thu, 03 Nov 2016 00:40:33 GMT",False,"Hawthorne, CA","Hawthorne, CA 90250",30+ days ago,False,c741033efc34ce19,Materials Engineer (Avionics),33.921432,-118.32665,"indeed_clk(this,'9267');","Bachelor’s degree in Materials Science, Materials <b>Engineering</b>, <b>Chemical</b> <b>Engineering</b>, Physics or Electrical <b>Engineering</b>....",SpaceX,False,CA,,http://www.indeed.com/viewjob?jk=c741033efc34ce19&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITyQpuYMg-H5DEw89SbZbXow&indpubnum=254802918413674&atk=1ba48hhcla4l0fo0
